name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
7143-56572-69,23:53:19.09,+33:54:45.15,0.51,2.41,18.93,14.33,3.48,0.52,353.33,2.38,C
3807-55511-153,08:23:50.26,+42:51:14.17,0.60,2.29,19.82,18.31,2.04,2.64,224.20,0.87,$\rm C^{\star}$
4460-55533-583,08:30:23.31,+27:00:17.90,0.52,2.43,19.46,22.62,4.47,5.78,0.00,0.00,$\rm C^{\star}$
5004-55711-565,17:26:46.47,+27:03:24.90,0.56,2.05,19.38,34.97,1.92,0.12,342.12,2.03,$\rm C^{\star}$
3818-55532-409,09:02:54.79,-00:57:45.87,0.58,2.84,19.42,7.95,3.39,3.08,192.89,0.70,$\rm C^{\star}$
6434-56362-705,11:23:27.37,+30:53:52.65,0.43,2.51,18.59,15.15,2.26,1.38,221.05,1.01,$\rm C^{\star}$
5119-55836-846,02:01:03.73,+16:11:30.82,0.11,2.91,16.14,14.47,1.79,1.75,179.29,0.86,$\rm C^{\star}$
4771-55925-113,11:05:02.65,+03:52:23.86,0.49,2.79,19.54,9.09,1.96,0.58,171.70,0.59,$\rm C^{\star}$
3961-55654-899,15:19:21.73,+24:26:49.78,0.46,2.94,18.71,8.47,1.63,3.56,277.41,1.60,$\rm C^{\star}$
5047-55833-169,22:19:52.65,+10:42:26.60,0.50,2.22,19.30,19.58,3.41,2.96,254.41,1.22,$\rm C^{\star}$
4761-55633-55,13:25:30.50,+03:23:28.34,0.48,2.52,19.31,14.11,2.60,9.94,275.10,1.50,$\rm C^{\star}$
4054-55358-721,15:36:35.76,+02:42:11.91,0.52,2.18,19.27,22.29,3.73,1.56,173.05,0.55,$\rm C^{\star}$
5354-55927-721,10:50:18.47,+09:02:56.44,0.62,2.48,19.57,12.54,3.49,1.08,209.83,0.77,$\rm C^{\star}$
4557-55588-812,10:25:29.99,+42:49:26.03,0.34,2.62,17.75,12.51,2.47,1.37,357.88,2.86,$\rm C^{\star}$
7033-56565-257,23:55:08.05,-05:28:26.75,0.56,2.52,19.72,10.55,1.67,2.38,261.22,1.27,$\rm C^{\star}$
4005-55325-636,12:59:41.64,+02:44:45.73,0.34,2.43,18.21,14.98,2.30,3.56,221.15,1.08,$\rm C^{\star}$
4656-55828-866,02:00:25.44,+13:25:07.02,0.42,2.83,18.99,6.27,2.24,0.94,240.72,1.23,C
6168-56187-395,23:09:17.34,+07:24:38.66,0.56,2.29,19.49,17.79,3.10,5.13,238.34,1.02,$\rm C^{\star}$
5158-55913-723,08:51:14.04,+50:46:32.05,0.58,2.48,19.82,10.84,2.20,2.19,294.85,1.58,C
8750-58401-229,00:43:46.63,+05:34:59.25,0.53,2.73,20.47,10.34,2.94,1.63,429.58,3.59,C
8877-57782-769,13:45:10.99,+37:55:59.86,0.70,2.81,20.29,9.42,2.58,1.97,406.11,2.81,C
3639-55205-877,01:43:04.69,+00:56:47.18,0.37,2.68,18.75,10.68,2.76,8.55,177.53,0.69,C
7049-56570-351,01:37:06.94,-05:06:39.92,0.59,2.74,19.42,8.42,1.89,1.11,94.88,0.17,C
8382-57513-843,12:06:18.90,+42:12:22.38,0.72,2.88,20.62,9.84,2.31,9.89,389.66,2.58,C
6445-56366-875,10:55:07.58,+31:41:26.47,0.52,2.42,19.93,18.23,3.93,2.22,214.24,0.87,$\rm C^{\star}$
4686-56013-701,11:19:45.18,+44:11:46.08,0.70,2.36,19.87,17.52,2.00,4.86,326.55,1.71,C
4233-55449-587,01:51:38.12,+00:55:59.19,0.49,2.80,18.87,10.66,2.94,1.95,299.94,1.81,$\rm C^{\star}$
4621-55649-257,11:11:52.94,+38:12:22.28,0.53,2.75,19.56,11.65,2.65,3.64,272.50,1.44,$\rm C^{\star}$
3850-55575-653,12:52:51.17,+00:58:05.79,0.54,2.44,19.65,15.12,3.05,1.26,231.02,1.00,$\rm C^{\star}$
4722-55735-393,15:36:10.33,+29:56:39.50,0.72,2.55,19.86,19.12,5.36,7.99,153.05,0.38,C
4274-55508-850,01:39:14.74,+04:43:34.68,0.24,2.40,17.31,29.58,6.90,2.41,198.80,0.94,$\rm C^{\star}$
4364-55855-469,22:47:46.61,-02:42:37.90,0.42,2.78,19.37,12.13,4.22,9.88,277.75,1.64,$\rm C^{\star}$
6750-56367-171,14:04:55.25,+46:00:20.46,0.46,2.47,19.16,9.62,1.48,4.74,241.89,1.17,$\rm C^{\star}$
7100-56636-812,11:24:29.09,+58:31:24.95,0.20,2.39,17.59,15.59,2.72,3.38,235.81,1.38,$\rm C^{\star}$
6967-56447-575,12:59:28.06,+61:27:22.12,0.50,2.88,18.21,13.39,4.55,2.64,326.47,2.14,$\rm A^{\star}$
4754-55649-697,12:37:54.05,+01:59:02.03,0.60,2.38,19.69,18.97,2.46,7.65,242.10,1.03,C
4610-55621-789,12:07:08.32,+35:47:19.68,0.58,2.30,19.57,20.07,2.89,1.40,174.89,0.54,$\rm C^{\star}$
6034-56103-572,16:03:48.28,+44:38:42.45,0.48,2.62,19.27,13.88,4.17,5.81,221.44,0.98,$\rm C^{\star}$
9362-57801-299,07:40:18.19,+34:39:33.94,0.69,2.46,20.54,10.88,2.57,5.40,193.22,0.61,C
4471-55617-107,08:03:32.96,+22:13:39.11,0.58,2.36,19.34,12.53,3.11,6.37,212.48,0.80,C
4854-55685-843,10:57:52.36,+06:44:31.29,0.60,2.91,19.45,9.43,1.84,4.31,201.65,0.76,$\rm C^{\star}$
4231-55444-338,01:40:28.82,-00:57:50.56,0.32,2.56,17.96,14.69,3.38,2.28,236.87,1.27,C
6377-56243-649,07:58:44.29,+44:10:50.57,0.60,2.78,19.95,6.08,2.34,2.45,205.45,0.77,C
6810-56447-963,13:41:49.72,+60:04:26.49,0.69,2.23,18.94,27.61,4.75,3.35,255.72,1.03,B
4856-55712-307,15:04:04.37,+06:28:18.95,0.60,2.62,19.31,10.95,2.83,1.26,217.86,0.86,C
8862-57461-289,09:23:05.74,+36:05:52.03,0.80,2.86,20.37,16.73,4.58,1.43,264.62,1.11,C
11391-58526-383,11:44:12.68,+30:05:16.03,0.70,2.24,20.27,17.64,2.39,3.20,382.12,2.28,C
6664-56383-669,10:52:22.56,+47:22:52.74,0.47,2.21,18.95,13.59,1.89,8.07,229.46,1.01,$\rm C^{\star}$
8433-57488-109,14:50:42.91,+48:14:17.32,0.64,2.89,20.14,11.66,4.47,8.77,227.34,0.93,C
11554-58456-287,23:33:20.22,+09:47:05.27,0.81,2.50,20.97,9.16,3.23,3.77,269.63,1.08,C
6480-56340-575,12:49:21.63,+28:21:44.00,0.54,2.44,19.56,8.84,1.95,1.62,195.31,0.71,C
5741-55980-642,09:44:52.65,+47:32:47.06,0.55,2.48,19.77,14.33,2.78,9.73,264.27,1.30,C
4641-55947-857,09:19:20.22,+40:47:50.11,0.50,2.87,19.34,10.38,2.60,4.19,186.66,0.70,C
4415-55831-507,23:58:54.16,+05:57:06.17,0.59,2.11,19.61,23.79,2.08,1.92,151.79,0.39,C
3689-55180-15,08:25:29.52,+51:05:05.48,0.38,2.88,19.68,5.80,1.77,1.95,279.86,1.72,C
7083-56722-15,10:45:51.92,+65:16:56.58,0.61,2.45,19.82,13.10,2.72,5.72,161.59,0.46,C
4195-55452-271,21:39:20.98,-00:12:27.51,0.60,2.42,19.91,7.88,1.43,1.16,211.50,0.79,C
4017-55329-869,15:11:33.10,-00:48:15.09,0.64,2.53,20.00,7.66,1.79,8.06,330.32,1.88,C
7155-56629-727,00:50:58.82,-06:37:06.27,0.46,2.68,19.41,9.32,2.57,1.70,258.10,1.36,C
5393-55946-875,12:14:25.89,+09:11:25.28,0.52,2.61,19.62,9.68,3.17,0.55,229.84,1.02,C
5300-55982-246,09:08:20.83,+13:52:15.97,0.46,2.48,19.60,14.65,3.26,0.67,136.31,0.37,C
7109-56658-413,11:11:10.83,+61:05:31.24,0.44,2.80,19.64,7.90,1.79,9.12,270.54,1.53,C
6027-56103-614,16:39:59.46,+46:01:30.37,0.24,2.88,17.44,9.92,2.61,8.89,303.27,2.23,C
4627-55626-180,11:09:50.92,+33:59:53.52,0.25,2.79,17.87,11.07,2.09,0.89,203.60,1.00,C
4800-55674-747,10:02:45.33,+05:30:53.75,0.58,2.83,19.76,9.41,2.88,1.86,204.74,0.79,C
8188-57348-165,09:57:39.60,+53:52:53.55,0.76,2.64,20.74,9.27,1.77,2.62,321.79,1.64,C
6787-56447-314,16:18:42.80,+56:32:13.55,0.32,2.48,18.24,14.19,2.15,0.12,203.94,0.93,C
5023-55858-985,22:22:34.29,+20:07:11.61,0.64,2.45,19.89,12.56,4.06,2.65,250.17,1.07,$\rm C^{\star}$
10732-58253-657,16:06:38.18,+39:38:49.24,0.86,2.92,20.73,6.04,2.26,0.81,151.75,0.35,C
5452-55957-221,14:08:33.76,+08:30:59.20,0.71,2.46,18.99,9.07,3.27,8.97,459.07,3.41,C
11341-58428-83,22:17:54.53,+03:28:41.04,0.84,2.68,20.02,8.08,1.79,0.82,0.00,0.00,C
3764-55514-591,08:32:43.79,+40:47:27.04,0.58,2.43,19.85,13.63,2.97,5.64,850.00,13.01,C
5153-56577-175,08:41:38.25,+55:39:15.48,0.49,2.29,19.59,12.51,2.04,1.02,166.52,0.53,C
