name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
7044-56591-199,01:07:53.78,-04:52:15.88,0.54,2.94,19.59,6.58,2.29,7.51,284.72,1.59,C
6184-56267-789,00:21:34.69,+15:08:16.51,0.59,2.28,19.93,9.28,2.01,9.65,213.80,0.80,C
5355-56009-269,10:54:57.52,+14:18:19.03,0.70,2.31,19.90,11.41,2.30,9.97,297.75,1.40,C
4307-55531-575,00:53:13.05,+04:11:57.17,0.56,2.93,19.86,7.00,1.61,9.32,182.93,0.65,C
3673-55178-351,07:44:49.62,+46:13:56.56,0.55,2.23,19.77,14.29,5.34,5.81,242.60,1.06,C
7088-56657-891,10:40:10.44,+57:41:08.88,0.68,2.80,19.80,5.26,2.91,0.08,206.46,0.74,C
4759-55649-613,13:28:47.85,+04:27:29.37,0.58,2.87,19.43,7.91,3.05,8.21,80.75,0.12,C
5365-55945-479,11:10:32.89,+13:51:34.51,0.47,2.89,18.92,9.98,2.55,1.93,151.18,0.47,C
8490-57104-157,15:02:09.41,+44:20:17.07,0.65,2.23,20.18,12.58,3.24,1.30,82.71,0.11,C
4309-55528-825,01:06:20.03,+05:04:34.18,0.50,2.23,19.70,17.11,2.65,1.99,216.87,0.89,C
6634-56367-115,12:09:49.98,+41:30:13.71,0.69,2.43,19.68,10.78,2.71,4.03,246.46,1.00,C
5004-55711-769,17:29:53.76,+27:23:55.45,0.47,2.44,19.41,6.94,1.65,7.60,205.34,0.84,C
7045-56577-695,01:12:18.10,-04:34:58.87,0.53,2.66,18.88,6.17,2.19,7.49,152.61,0.45,A
8381-57512-717,11:50:35.67,+42:27:29.62,0.79,2.38,21.06,11.15,2.34,6.90,459.98,3.12,C
4192-55469-435,21:16:01.98,-00:11:36.93,0.50,2.93,19.78,4.45,3.24,3.59,251.46,1.28,C
