

    0.906240294940282264E-03    0.627106651076743731E+02    0.209740418649876581E+01    0.479882248244578378E+02    0.268070843781943680E+01    0.140680596705780481E+01
    0.902053487235606995E-03    0.627085628318871926E+02    0.192839012518897168E+01    0.467851532749308205E+02    0.364409905773200293E+01    0.891241109180222679E+01
    0.901984168462475837E-03    0.626973528924776247E+02    0.177268928302964079E+01    0.476144576535844877E+02    0.452465149798660882E+01    0.628774032460277610E+01
    0.909311991862033365E-03    0.626698066714239488E+02    0.237036775807215871E+01    0.471322257504254338E+02    0.367463883878073627E+01    0.450389242185465832E+01
    0.905285021540723663E-03    0.626673198862892775E+02    0.158404465484486967E+01    0.472679147378589946E+02    0.352118414541868407E+01    0.473998930643897509E+01
    0.903271705639153099E-03    0.626604091193390857E+02    0.192531842622140426E+01    0.477766917485042910E+02    0.289693464919811738E+01    0.178397945560308635E+01
    0.929540294903466414E-03    0.625917119688885677E+02    0.139584394133962930E+01    0.472578621255800897E+02    0.419497606277007140E+01    0.698653364321592107E+01
    0.928260160424213281E-03    0.625831045697261956E+02    0.239344434260087358E+01    0.482966622574825024E+02    0.244546962826515335E+01    0.624081501111426462E+00
    0.930313522270361935E-03    0.625673217108141841E+02    0.201901454750946030E+01    0.477443753870009644E+02    0.277791647364039473E+01    0.161066502062283412E+01
    0.958802685387334262E-03    0.624956307678904182E+02    0.162158312548873584E+01    0.464938477974148014E+02    0.568445202229278834E+01    0.513930665986975654E+01
    0.953509846115516797E-03    0.624953382356481626E+02    0.201073856409254681E+01    0.473282798737577650E+02    0.330350142885465292E+01    0.106521896723796772E+01
    0.957193502849061606E-03    0.624762629651380905E+02    0.135942244574522597E+01    0.472064195950947720E+02    0.540637794680883665E+01    0.866805005754862634E+01
    0.986020489865288520E-03    0.624055561951047082E+02    0.184234052257816061E+01    0.475229707854003323E+02    0.477695950697939242E+01    0.398724247010167510E+01
    0.101341330428699546E-02    0.623393879864623628E+02    0.167065329849251976E+01    0.471026035086400370E+02    0.341788888176248751E+01    0.345244155580387968E+01
    0.101552514098111066E-02    0.623238609168281243E+02    0.143463180119141498E+01    0.473506521540279408E+02    0.506709214534478214E+01    0.958909823359939750E+01
