    0.159836307476979167E+01    0.514718658121075094E+02    0.303786348854468180E+01   -0.280512758811831819E+01   -0.372163706564798318E+02
    0.213786872640236236E+01    0.474546540565386579E+02    0.474547749435951438E+01    0.722220594040229003E+01   -0.360235642153666831E+02
    0.177658778719577137E+01    0.478471142721349167E+02    0.262282127933091358E+01    0.254235666840145669E+01   -0.359766237418727357E+02
    0.112181857317447387E+01    0.463068958314889585E+02    0.536625425386770338E+01    0.444296818809448979E+01   -0.353085032700606547E+02
    0.234843446646497611E+01    0.497559423814329023E+02    0.228988571551484510E+01    0.245622885820889536E+00   -0.351308656359707712E+02
    0.239250691405418126E+01    0.480233281408327599E+02    0.292250981249800557E+01    0.486368817880100579E+01   -0.350831405538614050E+02
    0.265906598590908194E+01    0.474638159969899505E+02    0.260202296505647679E+01    0.324890303540303726E+01   -0.350320299898756247E+02
    0.159156743973845316E+01    0.466406990197184896E+02    0.350233238909429145E+01    0.916789178376023983E+01   -0.348835338563173281E+02
    0.184345007209185119E+01    0.522349751073759734E+02    0.363914235107258666E+01   -0.656956253833295012E+01   -0.347644726961475854E+02
    0.110992911836494113E+01    0.465566891071965330E+02    0.588585719556973430E+01    0.407368897416971798E+01   -0.345709307145691085E+02
    0.131178764395796832E+01    0.461057229737592849E+02    0.675552639702234714E+01    0.719117110402570603E+01   -0.344629311937373259E+02
    0.241609533380142816E+01    0.509152599194281450E+02    0.250612478151246654E+01   -0.158905772963193925E+01   -0.343131275761495544E+02
    0.137360160158586941E+01    0.471750115994301069E+02    0.638133074173939896E+01    0.900988522179779494E+01   -0.340558601015534137E+02
    0.137132598389349014E+01    0.476961277528607681E+02    0.436363104691773795E+01    0.226951908364568133E+01   -0.339133149811649091E+02
    0.122411641910151747E+01    0.461550085012069999E+02    0.631285439710870921E+01    0.576996696034013468E+01   -0.338305137963257323E+02
    0.133222099081263101E+01    0.465304537169608921E+02    0.626745922076700079E+01    0.293676830469400585E+01   -0.337847585351351185E+02
    0.240555262850581597E+01    0.508216398468559163E+02    0.334605210464839953E+01   -0.432389722816132860E+00   -0.337222493219705299E+02
